NormalFormat,CustomName,Year,Session,Timezone,Paper,Subject,Level,Questions,Original,Markscheme,Scanned,Printed,CompletedDate,Completed,Partial,Mark,Maximum,Notes,IgnoreUpdate,GB7,GB6,GB5,GB4,GB3,GB2,GB1,GBMAX
False,Task Maker 3001,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3001.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3001.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-05,True,False,38,55,,False,0,0,0,0,0,0,0,0
False,Task Maker 3002,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics\\original-Task Maker 3002.pdf"", ""valid"": false, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3002.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-26,True,False,49,50,,False,0,0,0,0,0,0,0,0
False,Task Maker 3003,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3003.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\markscheme-Task Maker 3003.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3003.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-01,True,False,40,53,,False,0,0,0,0,0,0,0,0
False,Task Maker 3004,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3004.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3004.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-27,True,False,38,50,,False,0,0,0,0,0,0,0,0
False,Task Maker 3005,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3005.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3005.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-02,True,False,35,57,,False,0,0,0,0,0,0,0,0
False,Task Maker 3008,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3008.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3008.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-10-06,True,False,35,50,Review Q1(e),False,0,0,0,0,0,0,0,0
False,Task Maker 3006,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3006.pdf"", ""valid"": true, ""identifier"": """"}]",[],[],True,2022-10-08,True,False,32,48,,False,0,0,0,0,0,0,0,0
False,Task Maker 3011,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3011.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3011.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-29,True,False,47,55,,False,0,0,0,0,0,0,0,0
False,Task Maker 3007,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3007.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3007.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-02,True,False,34,48,,False,0,0,0,0,0,0,0,0
False,Task Maker 3009,,Task Maker P3,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\original-Task Maker 3009.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/Task Maker P3\\scanned-Task Maker 3009.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-10-05,True,False,35,55,,False,0,0,0,0,0,0,0,0
